r,t,f,y,ProductionByTechnologyAnnual
RE1,DEMINDELC,INDELC,2039,16.3057
RE1,DEMINDELC,INDELC,2040,16.6083
RE1,DEMINDELC,INDELC,2041,16.9047
RE1,DEMINDELC,INDELC,2042,17.201
RE1,DEMINDELC,INDELC,2043,17.4973
RE1,DEMINDELC,INDELC,2044,17.7937
RE1,DEMINDELC,INDELC,2045,14.5597
RE1,DEMINDELC,INDELC,2046,18.2964
RE1,DEMINDELC,INDELC,2047,18.5027
RE1,DEMINDELC,INDELC,2048,15.0579
RE1,DEMINDELC,INDELC,2049,15.224
RE1,DEMINDELC,INDELC,2050,56.7705
RE1,DEMINDELC,INDELC,2051,91.3051
RE1,DEMINDELC,INDELC,2052,132.9502
RE1,DEMINDELC,INDELC,2053,169.389
RE1,DEMINDELC,INDELC,2054,205.9276
RE1,DEMINDELC,INDELC,2055,708.6235
RE1,DEMINDELC,INDELC,2056,699.1127
RE1,DEMINDELC,INDELC,2057,587.5056
RE1,DEMINDELC,INDELC,2058,479.4672
RE1,DEMINDELC,INDELC,2059,509.8125
RE1,DEMINDELC,INDELC,2060,75.6417
RE1,DEMINDELC,INDELC,2061,85.4131
RE1,DEMINDELC,INDELC,2062,95.2936
RE1,DEMINDELC,INDELC,2063,49.5781
RE1,DEMINDELC,INDELC,2064,22.3344
RE1,DEMINDELC,INDELC,2065,22.5836
RE1,DEMINDELC,INDELC,2066,22.8355
RE1,DEMINDELC,INDELC,2067,23.0902
RE1,DEMINDELC,INDELC,2068,23.3478
RE1,DEMINDELC,INDELC,2069,23.6082
RE1,DEMINDELC,INDELC,2070,462.069
RE1,DEMINDHEBIO,INDHEL,2015,426.6187
RE1,DEMINDHEBIO,INDHEL,2016,382.5919
RE1,DEMINDHEBIO,INDHEL,2017,389.2174
RE1,DEMINDHEBIO,INDHEL,2018,400.2481
RE1,DEMINDHEBIO,INDHEL,2019,409.232
RE1,DEMINDHEBIO,INDHEL,2020,418.2023
RE1,DEMINDHEBIO,INDHEL,2021,424.4265
RE1,DEMINDHEBIO,INDHEL,2022,430.6414
RE1,DEMINDHEBIO,INDHEL,2023,436.8476
RE1,DEMINDHEBIO,INDHEL,2024,443.0455
RE1,DEMINDHEBIO,INDHEL,2025,449.2357
RE1,DEMINDHEBIO,INDHEL,2026,456.0698
RE1,DEMINDHEBIO,INDHEL,2027,462.8953
RE1,DEMINDHEBIO,INDHEL,2028,469.7126
RE1,DEMINDHEBIO,INDHEL,2029,476.5222
RE1,DEMINDHEBIO,INDHEL,2030,376.6354
RE1,DEMINDHEBIO,INDHEL,2031,376.6354
RE1,DEMINDHEBIO,INDHEL,2032,376.6354
RE1,DEMINDHEBIO,INDHEL,2033,371.8378
RE1,DEMINDHEBIO,INDHEL,2034,361.4294
RE1,DEMINDHEBIO,INDHEL,2035,337.4962
RE1,DEMINDHEBIO,INDHEL,2036,299.6842
RE1,DEMINDHEBIO,INDHEL,2037,291.1488
RE1,DEMINDHEBIO,INDHEL,2038,261.7677
RE1,DEMINDHEBIO,INDHEL,2039,227.1636
RE1,DEMINDHEBIO,INDHEL,2040,214.4111
RE1,DEMINDHEBIO,INDHEL,2041,181.5869
RE1,DEMINDHEBIO,INDHEL,2042,149.2082
RE1,DEMINDHEBIO,INDHEL,2043,117.0401
RE1,DEMINDHEBIO,INDHEL,2044,94.0361
RE1,DEMINDHEBIO,INDHEL,2045,84.1227
RE1,DEMINDHEBIO,INDHEL,2046,84.1227
RE1,DEMINDHEBIO,INDHEL,2047,63.6918
RE1,DEMINDHEBIO,INDHEL,2048,36.9871
RE1,DEMINDHECOA,INDHEH,2015,639.928
RE1,DEMINDHECOA,INDHEH,2016,573.8878
RE1,DEMINDHECOA,INDHEH,2017,583.8261
RE1,DEMINDHECOA,INDHEH,2018,600.3722
RE1,DEMINDHECOA,INDHEH,2019,613.848
RE1,DEMINDHECOA,INDHEH,2020,627.3034
RE1,DEMINDHECOA,INDHEH,2021,636.6397
RE1,DEMINDHECOA,INDHEH,2022,645.9621
RE1,DEMINDHECOA,INDHEH,2023,655.2714
RE1,DEMINDHECOA,INDHEH,2024,664.5683
RE1,DEMINDHECOA,INDHEH,2025,673.8535
RE1,DEMINDHECOA,INDHEH,2026,684.1047
RE1,DEMINDHECOA,INDHEH,2027,694.3429
RE1,DEMINDHECOA,INDHEH,2028,704.5689
RE1,DEMINDHECOA,INDHEH,2029,714.7832
RE1,DEMINDHECOA,INDHEH,2030,724.9866
RE1,DEMINDHECOA,INDHEH,2031,734.1859
RE1,DEMINDHECOA,INDHEH,2032,743.3675
RE1,DEMINDHECOA,INDHEH,2033,747.7907
RE1,DEMINDHECOA,INDHEH,2034,747.7907
RE1,DEMINDHECOA,INDHEH,2035,747.7907
RE1,DEMINDHECOA,INDHEH,2036,726.7043
RE1,DEMINDHECOA,INDHEH,2037,701.4243
RE1,DEMINDHECOA,INDHEH,2038,625.0376
RE1,DEMINDHECOA,INDHEH,2039,487.631
RE1,DEMINDHECOA,INDHEH,2040,349.4777
RE1,DEMINDHECOA,INDHEH,2041,230.6837
RE1,DEMINDHECOA,INDHEH,2042,126.9301
RE1,DEMINDHECOA,INDHEH,2045,22.8041
RE1,DEMINDHECOA,INDHEH,2046,0.8031
RE1,DEMINDHEEH,INDHEH,2033,4.7415
RE1,DEMINDHEEH,INDHEH,2034,13.8904
RE1,DEMINDHEEH,INDHEH,2035,23.0243
RE1,DEMINDHEEH,INDHEH,2036,52.1297
RE1,DEMINDHEEH,INDHEH,2037,85.4202
RE1,DEMINDHEEH,INDHEH,2038,169.8091
RE1,DEMINDHEEH,INDHEH,2039,315.21
RE1,DEMINDHEEH,INDHEH,2040,461.35
RE1,DEMINDHEEH,INDHEH,2041,588.4656
RE1,DEMINDHEEH,INDHEH,2042,700.5352
RE1,DEMINDHEEH,INDHEH,2043,835.7759
RE1,DEMINDHEEH,INDHEH,2044,844.0812
RE1,DEMINDHEEH,INDHEH,2045,829.5774
RE1,DEMINDHEEH,INDHEH,2046,857.9596
RE1,DEMINDHEEH,INDHEH,2047,865.1418
RE1,DEMINDHEEH,INDHEH,2048,871.5186
RE1,DEMINDHEEH,INDHEH,2049,877.8933
RE1,DEMINDHEEH,INDHEH,2050,884.2658
RE1,DEMINDHEEH,INDHEH,2051,890.7889
RE1,DEMINDHEEH,INDHEH,2052,897.3615
RE1,DEMINDHEEH,INDHEH,2053,903.9841
RE1,DEMINDHEEH,INDHEH,2054,910.6572
RE1,DEMINDHEEH,INDHEH,2055,917.3809
RE1,DEMINDHEEH,INDHEH,2056,924.1559
RE1,DEMINDHEEH,INDHEH,2057,930.9824
RE1,DEMINDHEEH,INDHEH,2058,937.8608
RE1,DEMINDHEEH,INDHEH,2059,944.7916
RE1,DEMINDHEEH,INDHEH,2060,951.7752
RE1,DEMINDHEEH,INDHEH,2061,958.8119
RE1,DEMINDHEEH,INDHEH,2062,965.9022
RE1,DEMINDHEEH,INDHEH,2063,973.0465
RE1,DEMINDHEEH,INDHEH,2064,980.2451
RE1,DEMINDHEEH,INDHEH,2065,987.4987
RE1,DEMINDHEEH,INDHEH,2066,994.8075
RE1,DEMINDHEEH,INDHEH,2067,1002.1719
RE1,DEMINDHEEH,INDHEH,2068,1009.5925
RE1,DEMINDHEEH,INDHEH,2069,1017.0697
RE1,DEMINDHEEH,INDHEH,2070,1024.6038
RE1,DEMINDHEEL,INDHEL,2030,106.6891
RE1,DEMINDHEEL,INDHEL,2031,112.8219
RE1,DEMINDHEEL,INDHEL,2032,118.943
RE1,DEMINDHEEL,INDHEL,2033,129.8504
RE1,DEMINDHEEL,INDHEL,2034,146.3581
RE1,DEMINDHEEL,INDHEL,2035,176.3805
RE1,DEMINDHEEL,INDHEL,2036,219.5385
RE1,DEMINDHEEL,INDHEL,2037,233.4141
RE1,DEMINDHEEL,INDHEL,2038,268.1302
RE1,DEMINDHEEL,INDHEL,2039,308.0637
RE1,DEMINDHEEL,INDHEL,2040,326.1408
RE1,DEMINDHEEL,INDHEL,2041,364.5126
RE1,DEMINDHEEL,INDHEL,2042,402.4353
RE1,DEMINDHEEL,INDHEL,2043,440.1438
RE1,DEMINDHEEL,INDHEL,2044,468.6847
RE1,DEMINDHEEL,INDHEL,2045,484.1316
RE1,DEMINDHEEL,INDHEL,2046,488.3858
RE1,DEMINDHEEL,INDHEL,2047,513.0694
RE1,DEMINDHEEL,INDHEL,2048,544.0253
RE1,DEMINDHEEL,INDHEL,2049,585.2622
RE1,DEMINDHEEL,INDHEL,2050,589.5105
RE1,DEMINDHEEL,INDHEL,2051,593.8592
RE1,DEMINDHEEL,INDHEL,2052,598.241
RE1,DEMINDHEEL,INDHEL,2053,602.6561
