r,t,y,AnnualFixedOperatingCost
RE1,PWRGEO,2030,0.6822
RE1,PWRGEO,2031,0.6822
RE1,PWRGEO,2032,0.6822
RE1,PWRGEO,2033,0.6822
RE1,PWRGEO,2034,0.6822
RE1,PWRGEO,2035,0.6822
RE1,PWRGEO,2036,0.6822
RE1,PWRGEO,2037,0.6822
RE1,PWRGEO,2038,0.6822
RE1,PWRGEO,2039,0.6822
RE1,PWRGEO,2040,0.6822
RE1,PWRGEO,2041,0.6822
RE1,PWRGEO,2042,0.6822
RE1,PWRGEO,2043,0.6822
RE1,PWRGEO,2044,0.6822
RE1,PWRGEO,2045,0.6822
RE1,PWRGEO,2046,0.6822
RE1,PWRGEO,2047,0.6822
RE1,PWRGEO,2048,0.6822
RE1,PWRGEO,2049,0.6822
RE1,PWRGEO,2050,0.6822
RE1,PWRGEO,2051,0.6822
RE1,PWRGEO,2052,0.6822
RE1,PWRGEO,2053,0.6822
RE1,PWRGEO,2054,0.6822
RE1,PWRGEO,2055,0.6822
RE1,PWRGEO,2056,0.6822
RE1,PWRGEO,2057,0.6822
RE1,PWRGEO,2058,0.6822
RE1,PWRGEO,2059,0.6822
RE1,PWRGEO,2060,0.6822
RE1,PWRGEO,2061,0.6822
RE1,PWRGEO,2062,0.6822
RE1,PWRGEO,2063,0.6822
RE1,PWRGEO,2064,0.6822
RE1,PWRGEO,2065,0.6822
RE1,PWRGEO,2066,0.6822
RE1,PWRGEO,2067,0.6822
RE1,PWRGEO,2068,0.6822
RE1,PWRGEO,2069,0.6822
RE1,PWRGEO,2070,0.6822
RE1,PWRNGS001,2015,1121.7454
RE1,PWRNGS001,2016,1121.7454
RE1,PWRNGS001,2017,1121.7454
RE1,PWRNGS001,2018,1121.7454
RE1,PWRNGS001,2019,1121.7454
RE1,PWRNGS001,2020,1121.7454
RE1,PWRNGS001,2021,1121.7454
RE1,PWRNGS001,2022,1121.7454
RE1,PWRNGS001,2023,1121.7454
RE1,PWRNGS001,2024,445.0268
RE1,PWRNGS001,2025,445.0268
RE1,PWRNGS001,2026,414.1015
RE1,PWRNGS001,2027,414.1015
RE1,PWRNGS001,2028,408.9748
RE1,PWRNGS001,2029,403.9309
RE1,PWRNGS001,2030,355.3103
RE1,PWRNGS001,2031,345.2224
RE1,PWRNGS001,2032,345.2224
RE1,PWRNGS001,2033,311.0723
RE1,PWRNGS001,2034,297.0153
RE1,PWRNGS001,2035,297.0153
RE1,PWRNGS001,2036,297.0153
RE1,PWRNGS001,2037,297.0153
RE1,PWRNGS001,2038,178.4407
RE1,PWRNGS001,2039,178.4407
RE1,PWRNGS001,2040,149.3345
RE1,PWRNGS001,2041,132.3008
RE1,PWRNGS001,2042,132.3008
RE1,PWRNGS001,2043,132.3008
RE1,PWRNGS001,2044,66.1504
RE1,PWRSOL001,2015,34.639
RE1,PWRSOL001,2016,55.6577
RE1,PWRSOL001,2017,56.5469
RE1,PWRSOL001,2018,56.8104
