r,t,y,TotalCapacityAnnual
RE1,PWRNGS001,2029,15.9968
RE1,PWRNGS001,2030,17.2202
RE1,PWRNGS001,2031,23.1275
RE1,PWRNGS001,2032,24.5264
RE1,PWRNGS001,2033,25.9244
RE1,PWRNGS001,2034,27.3214
RE1,PWRNGS001,2035,28.7176
RE1,PWRNGS001,2036,29.9253
RE1,PWRNGS001,2037,32.8783
RE1,PWRNGS001,2038,33.9965
RE1,PWRNGS001,2039,35.114
RE1,PWRNGS001,2040,36.2308
RE1,PWRNGS001,2041,37.3232
RE1,PWRNGS001,2042,39.3149
RE1,PWRNGS001,2043,40.4059
RE1,PWRNGS001,2044,41.4962
RE1,PWRNGS001,2045,42.5858
RE1,PWRNGS001,2046,43.8795
RE1,PWRNGS001,2047,45.4182
RE1,PWRNGS001,2048,46.4718
RE1,PWRNGS001,2049,47.6815
RE1,PWRNGS001,2050,101.507
RE1,PWRNGS001,2051,102.9813
RE1,PWRNGS001,2052,104.1965
RE1,PWRNGS001,2053,105.4239
RE1,PWRNGS001,2054,106.6636
RE1,PWRNGS001,2055,107.9157
RE1,PWRNGS001,2056,109.1804
RE1,PWRNGS001,2057,110.4577
RE1,PWRNGS001,2058,111.7478
RE1,PWRNGS001,2059,113.5739
RE1,PWRNGS001,2060,114.3078
RE1,PWRNGS001,2061,115.6962
RE1,PWRNGS001,2062,117.0389
RE1,PWRNGS001,2063,118.395
RE1,PWRNGS001,2064,120.0825
RE1,PWRNGS001,2065,121.4659
RE1,PWRNGS001,2066,122.8633
RE1,PWRNGS001,2067,124.2747
RE1,PWRNGS001,2068,125.7003
RE1,PWRNGS001,2069,127.1402
RE1,PWRNGS001,2070,125.3195
RE1,PWRSOL001,2015,1.4145
RE1,PWRSOL001,2016,2.451
RE1,PWRSOL001,2017,2.702
RE1,PWRSOL001,2018,2.967
RE1,PWRSOL001,2019,2.988
RE1,PWRSOL001,2020,2.988
RE1,PWRSOL001,2021,3.065
RE1,PWRSOL001,2022,3.065
RE1,PWRSOL001,2023,3.065
RE1,PWRSOL001,2024,65.1126
RE1,PWRSOL001,2025,65.1126
RE1,PWRSOL001,2026,65.1126
RE1,PWRSOL001,2027,65.1126
RE1,PWRSOL001,2028,65.1126
RE1,PWRSOL001,2029,65.1126
RE1,PWRSOL001,2030,65.1126
RE1,PWRSOL001,2031,65.1126
RE1,PWRSOL001,2032,65.1126
RE1,PWRSOL001,2033,65.1126
RE1,PWRSOL001,2034,65.1126
RE1,PWRSOL001,2035,63.6981
RE1,PWRSOL001,2036,62.6616
RE1,PWRSOL001,2037,62.4106
RE1,PWRSOL001,2038,62.1456
RE1,PWRSOL001,2039,62.1246
RE1,PWRSOL001,2040,62.1246
RE1,PWRSOL001,2041,62.0476
RE1,PWRSOL001,2042,62.0476
RE1,PWRSOL001,2043,62.0476
RE1,PWRSOL001,2044,62.0476
RE1,PWRSOL001,2045,62.0476
RE1,PWRSOL001,2046,62.0476
RE1,PWRSOL001,2047,62.0476
RE1,PWRSOL001,2048,62.0476
RE1,PWRSOL001,2049,62.0476
RE1,PWRSOL001,2050,62.0476
RE1,PWRSOL001,2051,62.0476
RE1,PWRSOL001,2052,62.0476
RE1,PWRSOL001,2053,62.0476
RE1,PWRCSP002,2015,0.005
RE1,PWRCSP002,2016,0.005
RE1,PWRCSP002,2017,0.005
RE1,PWRCSP002,2018,0.005
RE1,PWRCSP002,2019,0.005
RE1,PWRCSP002,2020,0.005
RE1,PWRCSP002,2021,0.005
RE1,PWRCSP002,2022,0.005
RE1,PWRCSP002,2023,0.005
RE1,PWRCSP002,2024,0.005
RE1,PWRCSP002,2025,0.005
RE1,PWRCSP002,2026,0.005
RE1,PWRCSP002,2027,0.005
RE1,PWRCSP002,2028,0.005
RE1,PWRCSP002,2029,0.005
RE1,PWRCSP002,2030,0.005
RE1,PWRCSP002,2031,0.005
RE1,PWRCSP002,2032,0.005
RE1,PWRCSP002,2033,0.005
RE1,PWRCSP002,2034,0.005
RE1,PWRCSP002,2035,0.005
RE1,PWRCSP002,2036,0.005
RE1,PWRCSP002,2037,0.005
RE1,PWRCSP002,2038,0.005
RE1,PWRCSP002,2039,0.005
RE1,PWRCSP002,2040,0.005
RE1,PWRCSP002,2041,0.005
RE1,PWRCSP002,2042,0.005
RE1,PWRCSP002,2043,0.005
RE1,PWRHYD001,2015,3.639
RE1,PWRHYD001,2016,3.639
RE1,PWRHYD001,2017,3.639
RE1,PWRHYD001,2018,3.639
RE1,PWRHYD001,2019,3.639
RE1,PWRHYD001,2020,3.639
RE1,PWRHYD001,2021,3.639
RE1,PWRHYD001,2022,3.639
RE1,PWRHYD001,2023,3.639
RE1,PWRHYD001,2024,4.3645
RE1,PWRHYD001,2025,4.3645
RE1,PWRHYD001,2026,4.3645
RE1,PWRHYD001,2027,4.3645
RE1,PWRHYD001,2028,4.3645
RE1,PWRHYD001,2029,4.3645
RE1,PWRHYD001,2030,4.3645
RE1,PWRHYD001,2031,4.3645
RE1,PWRHYD001,2032,4.3645
RE1,PWRHYD001,2033,4.3645
RE1,PWRHYD001,2034,4.3645
RE1,PWRHYD001,2035,4.3645
RE1,PWRHYD001,2036,4.3645
RE1,PWRHYD001,2037,4.3645
RE1,PWRHYD001,2038,4.3645
RE1,PWRHYD001,2039,4.3645
RE1,PWRHYD001,2040,4.3645
RE1,PWRHYD001,2041,4.3645
RE1,PWRHYD001,2042,4.3645
RE1,PWRHYD001,2043,4.3645
RE1,PWRHYD001,2044,4.3645
RE1,PWRHYD001,2045,4.3645
RE1,PWRHYD001,2046,4.3645
RE1,PWRHYD001,2047,4.3645
RE1,PWRHYD001,2048,4.3645
RE1,PWRHYD001,2049,4.3645
RE1,PWRHYD001,2050,4.3645
RE1,PWRHYD001,2051,4.3645
RE1,PWRHYD001,2052,4.3645
RE1,PWRHYD001,2053,4.3645
RE1,PWRHYD001,2054,4.3645
RE1,PWRHYD001,2055,4.3645
RE1,PWRHYD001,2056,4.3645
RE1,PWRHYD001,2057,4.3645
RE1,PWRHYD001,2058,4.3645
RE1,PWRHYD001,2059,4.3645
RE1,PWRHYD001,2060,4.3645
RE1,PWRHYD001,2061,4.3645
RE1,PWRHYD001,2062,4.3645
RE1,PWRHYD001,2063,4.3645
RE1,PWRHYD001,2064,4.3645
RE1,PWRHYD001,2065,4.3645
RE1,PWRHYD001,2066,4.3645
RE1,PWRHYD001,2067,4.3645
RE1,PWRHYD001,2068,4.3645
RE1,PWRHYD001,2069,4.3645
RE1,PWRHYD001,2070,4.3645
RE1,PWRHYD002,2015,0.148
RE1,PWRHYD002,2016,0.148
RE1,PWRHYD002,2017,0.148
RE1,PWRHYD002,2018,0.148
RE1,PWRHYD002,2019,0.148
RE1,PWRHYD002,2020,0.148
RE1,PWRHYD002,2021,0.148
RE1,PWRHYD002,2022,0.148
RE1,PWRHYD002,2023,0.148
RE1,PWRHYD002,2024,0.1775
RE1,PWRHYD002,2025,0.1775
RE1,PWRHYD002,2026,0.1775
RE1,PWRHYD002,2027,0.1775
RE1,PWRHYD002,2028,0.1775
RE1,PWRHYD002,2029,0.1775
RE1,PWRHYD002,2030,0.1775
RE1,PWRHYD002,2031,0.1775
RE1,PWRHYD002,2032,0.1775
RE1,PWRHYD002,2033,0.1775
RE1,PWRHYD002,2034,0.1775
RE1,PWRHYD002,2035,0.1775
RE1,PWRHYD002,2036,0.1775
