r,t,m,y,TotalAnnualTechnologyActivityByMode
RE1,MINGEO,1,2027,1.4486
RE1,MINGEO,1,2028,1.4486
RE1,MINGEO,1,2029,1.4486
RE1,MINGEO,1,2030,1.4486
RE1,MINGEO,1,2031,1.4486
RE1,MINGEO,1,2032,1.4486
RE1,MINGEO,1,2033,1.4486
RE1,MINGEO,1,2034,1.4486
RE1,MINGEO,1,2035,1.4486
RE1,MINGEO,1,2036,1.4486
RE1,MINGEO,1,2037,1.4486
RE1,MINGEO,1,2038,1.4486
RE1,MINGEO,1,2039,1.4486
RE1,MINGEO,1,2040,1.4486
RE1,MINGEO,1,2041,1.4486
RE1,MINGEO,1,2042,1.4486
RE1,MINGEO,1,2043,1.4486
RE1,MINGEO,1,2044,1.4486
RE1,MINGEO,1,2045,1.4486
RE1,MINGEO,1,2046,1.4486
RE1,MINGEO,1,2047,1.4486
RE1,MINGEO,1,2048,1.4486
RE1,MINGEO,1,2049,1.4486
RE1,MINGEO,1,2050,1.4486
RE1,MINGEO,1,2051,1.4486
RE1,MINGEO,1,2052,1.4486
RE1,MINGEO,1,2053,1.2676
RE1,MINGEO,1,2054,1.4486
RE1,MINGEO,1,2055,1.4486
RE1,MINGEO,1,2056,1.4486
RE1,MINGEO,1,2057,1.4486
RE1,MINGEO,1,2058,1.4486
RE1,MINGEO,1,2059,1.4486
RE1,MINGEO,1,2060,1.4486
RE1,MINGEO,1,2061,1.4486
RE1,MINGEO,1,2062,1.4486
RE1,MINGEO,1,2063,1.4486
RE1,MINGEO,1,2064,1.4486
RE1,MINGEO,1,2065,1.4486
RE1,MINGEO,1,2066,1.4486
RE1,MINGEO,1,2067,1.2374
RE1,MINGEO,1,2068,1.2374
RE1,MINGEO,1,2069,1.4486
RE1,MINGEO,1,2070,0.6036
RE1,MINHYD,1,2015,29.4911
RE1,MINHYD,1,2016,29.4911
RE1,MINHYD,1,2017,29.4911
RE1,MINHYD,1,2018,29.4911
RE1,MINHYD,1,2019,29.4911
RE1,MINHYD,1,2020,29.4911
RE1,MINHYD,1,2021,29.4911
RE1,MINHYD,1,2022,29.4911
RE1,MINHYD,1,2023,29.4911
RE1,MINHYD,1,2024,40.8218
RE1,MINHYD,1,2025,40.8218
RE1,MINHYD,1,2026,40.8218
RE1,MINHYD,1,2027,40.8218
RE1,MINHYD,1,2028,40.8218
RE1,MINHYD,1,2029,40.8218
RE1,MINHYD,1,2030,40.8218
RE1,MINHYD,1,2031,40.8218
RE1,MINHYD,1,2032,40.8218
RE1,MINHYD,1,2033,40.8218
RE1,MINHYD,1,2034,40.8218
RE1,MINHYD,1,2035,40.8218
RE1,MINHYD,1,2036,40.8218
RE1,MINHYD,1,2037,40.8218
RE1,MINHYD,1,2038,40.8218
RE1,MINHYD,1,2039,40.8218
RE1,MINHYD,1,2040,40.8218
RE1,MINHYD,1,2041,40.8218
