r,t,y,AnnualFixedOperatingCost
RE1,PWRGEO,2045,0.6822
RE1,PWRGEO,2046,0.6822
RE1,PWRGEO,2047,0.6822
RE1,PWRGEO,2048,0.6822
RE1,PWRGEO,2049,0.6822
RE1,PWRGEO,2050,0.6822
RE1,PWRGEO,2051,0.6822
RE1,PWRGEO,2052,0.6822
RE1,PWRGEO,2053,0.6822
RE1,PWRGEO,2054,0.6822
RE1,PWRGEO,2055,0.6822
RE1,PWRGEO,2056,0.6822
RE1,PWRGEO,2057,0.6822
RE1,PWRGEO,2058,0.6822
RE1,PWRGEO,2059,0.6822
RE1,PWRGEO,2060,0.6822
RE1,PWRGEO,2061,0.6822
RE1,PWRGEO,2062,0.6822
RE1,PWRGEO,2063,0.6822
RE1,PWRGEO,2064,0.6822
RE1,PWRGEO,2065,0.6822
RE1,PWRGEO,2066,0.6822
RE1,PWRGEO,2067,0.6822
RE1,PWRGEO,2068,0.6822
RE1,PWRGEO,2069,0.6822
RE1,PWRGEO,2070,0.6822
RE1,PWROHC001,2049,-0.0
RE1,PWROHC001,2050,-0.0
RE1,PWROHC001,2051,-0.0
RE1,PWROHC001,2052,-0.0
RE1,PWROHC001,2053,-0.0
RE1,PWROHC001,2054,-0.0
RE1,PWROHC001,2055,-0.0
RE1,PWROHC001,2056,-0.0
RE1,PWROHC001,2057,-0.0
RE1,PWROHC001,2058,-0.0
RE1,PWROHC001,2059,-0.0
RE1,PWROHC001,2060,-0.0
RE1,PWROHC001,2061,-0.0
RE1,PWROHC001,2062,-0.0
RE1,PWROHC001,2063,-0.0
RE1,PWROHC001,2064,-0.0
RE1,PWROHC002,2025,40.6633
RE1,PWROHC002,2026,40.6633
RE1,PWROHC002,2027,40.6633
RE1,PWROHC002,2028,40.6633
RE1,PWROHC002,2029,40.6633
RE1,PWROHC002,2030,40.6633
RE1,PWROHC002,2031,40.6633
RE1,PWROHC002,2032,40.6633
RE1,PWROHC002,2033,40.6633
RE1,PWROHC002,2034,40.6633
RE1,PWROHC002,2035,40.6633
RE1,PWROHC002,2036,40.6633
RE1,PWROHC002,2037,40.6633
RE1,PWROHC002,2038,40.6633
RE1,PWROHC002,2039,40.6633
RE1,PWROHC002,2040,40.6633
RE1,PWROHC002,2041,40.6633
RE1,PWROHC002,2042,40.6633
RE1,PWROHC002,2043,40.6633
RE1,PWROHC002,2044,40.6633
RE1,PWROHC002,2045,40.6633
RE1,PWROHC002,2046,40.6633
RE1,PWROHC002,2047,40.6633
RE1,PWROHC002,2048,40.6633
RE1,PWROHC002,2049,40.6633
RE1,PWROHC002,2050,40.6633
RE1,PWROHC002,2051,40.6633
RE1,PWROHC002,2052,40.6633
RE1,PWROHC002,2053,40.6633
RE1,PWROHC002,2054,40.6633
RE1,PWROHC002,2055,40.6633
RE1,PWROHC002,2056,40.6633
RE1,PWROHC002,2057,40.6633
RE1,PWROHC002,2058,40.6633
RE1,PWROHC002,2059,40.6633
RE1,PWROHC002,2060,40.6633
RE1,PWROHC002,2061,40.6633
RE1,PWROHC002,2062,40.6633
RE1,PWROHC002,2063,40.6633
RE1,PWROHC002,2064,40.6633
RE1,PWROHC002,2065,40.6633
RE1,PWROHC002,2066,40.6633
RE1,PWROHC002,2067,40.6633
RE1,PWROHC002,2068,40.6633
