r,l,t,f,y,ProductionByTechnology
RE1,S413,DEMRESELC,RESELC,2030,2.853
RE1,S413,DEMRESCKNELC,RESCKN,2030,0.0292
RE1,S413,DEMRESCKNOIL,RESCKN,2030,1.5817
RE1,S413,DEMRESCKNBIO,RESCKN,2030,0.942
RE1,S413,DEMRESHEBIO,RESHEL,2030,1.0941
RE1,S413,DEMCOMELC,COMELC,2030,2.9487
RE1,S413,DEMCOMHEBIO,COMHEL,2030,0.532
RE1,S413,DEMINDHECOA,INDHEH,2030,7.5519
RE1,S414,MINBIO,BIO,2030,13.9465
RE1,S414,IMPCOA,COA,2030,41.0293
RE1,S414,IMPLFO,LFO,2030,77.7781
RE1,S414,MINSOL,SOL,2030,0.3678
RE1,S414,MINWND,WND,2030,0.056
RE1,S414,MINHYD,HYD,2030,0.4093
RE1,S414,PWRBIO001,ELC001,2030,1.0216
RE1,S414,PWRCOA001,ELC001,2030,9.5213
RE1,S414,PWRSOL001,ELC001,2030,0.3673
RE1,S414,PWRCSP002,ELC001,2030,0.0005
RE1,S414,PWRHYD001,ELC001,2030,0.3933
RE1,S414,PWRHYD002,ELC001,2030,0.016
RE1,S414,PWRWND001,ELC001,2030,0.056
RE1,S414,PWRTRNIMP,ELC001,2030,0.9038
RE1,S414,PWRTRN,ELC002,2030,11.5473
RE1,S414,PWRDIST,ELC003,2030,11.5473
RE1,S414,DEMTRAMCYGSL,TRAMCY,2030,3.2231
RE1,S414,DEMTRACARGSL,TRACAR,2030,6.9297
RE1,S414,DEMTRABUSGSL,TRABUS,2030,5.9627
RE1,S414,DEMINDELC,INDELC,2030,5.715
RE1,S414,DEMINDHEBIO,INDHEL,2030,5.0346
RE1,S414,DEMRESELC,RESELC,2030,2.853
RE1,S414,DEMRESCKNELC,RESCKN,2030,0.0292
RE1,S414,DEMRESCKNOIL,RESCKN,2030,1.5817
RE1,S414,DEMRESCKNBIO,RESCKN,2030,0.942
RE1,S414,DEMRESHEBIO,RESHEL,2030,1.0941
RE1,S414,DEMCOMELC,COMELC,2030,2.9487
RE1,S414,DEMCOMHEBIO,COMHEL,2030,0.532
RE1,S414,DEMINDHECOA,INDHEH,2030,7.5519
RE1,S415,MINBIO,BIO,2030,13.9465
RE1,S415,IMPCOA,COA,2030,41.0293
RE1,S415,IMPLFO,LFO,2030,77.7781
RE1,S415,MINSOL,SOL,2030,0.3678
RE1,S415,MINWND,WND,2030,0.056
RE1,S415,MINHYD,HYD,2030,0.4093
RE1,S415,PWRBIO001,ELC001,2030,1.0216
RE1,S415,PWRCOA001,ELC001,2030,9.5213
RE1,S415,PWRSOL001,ELC001,2030,0.3673
RE1,S415,PWRCSP002,ELC001,2030,0.0005
RE1,S415,PWRHYD001,ELC001,2030,0.3933
RE1,S415,PWRHYD002,ELC001,2030,0.016
RE1,S415,PWRWND001,ELC001,2030,0.056
RE1,S415,PWRTRNIMP,ELC001,2030,0.9038
RE1,S415,PWRTRN,ELC002,2030,11.5473
RE1,S415,PWRDIST,ELC003,2030,11.5473
RE1,S415,DEMTRAMCYGSL,TRAMCY,2030,3.2231
RE1,S415,DEMTRACARGSL,TRACAR,2030,6.9297
RE1,S415,DEMTRABUSGSL,TRABUS,2030,5.9627
RE1,S415,DEMINDELC,INDELC,2030,5.715
RE1,S415,DEMINDHEBIO,INDHEL,2030,5.0346
RE1,S415,DEMRESELC,RESELC,2030,2.853
RE1,S415,DEMRESCKNELC,RESCKN,2030,0.0292
RE1,S415,DEMRESCKNOIL,RESCKN,2030,1.5817
RE1,S415,DEMRESCKNBIO,RESCKN,2030,0.942
RE1,S415,DEMRESHEBIO,RESHEL,2030,1.0941
RE1,S415,DEMCOMELC,COMELC,2030,2.9487
RE1,S415,DEMCOMHEBIO,COMHEL,2030,0.532
RE1,S415,DEMINDHECOA,INDHEH,2030,7.5519
RE1,S416,MINBIO,BIO,2030,13.9465
RE1,S416,IMPCOA,COA,2030,41.0293
RE1,S416,IMPLFO,LFO,2030,77.7781
RE1,S416,MINSOL,SOL,2030,0.3678
RE1,S416,MINWND,WND,2030,0.056
RE1,S416,MINHYD,HYD,2030,0.4093
RE1,S416,PWRBIO001,ELC001,2030,1.0216
RE1,S416,PWRCOA001,ELC001,2030,9.5213
RE1,S416,PWRSOL001,ELC001,2030,0.3673
RE1,S416,PWRCSP002,ELC001,2030,0.0005
RE1,S416,PWRHYD001,ELC001,2030,0.3933
RE1,S416,PWRHYD002,ELC001,2030,0.016
RE1,S416,PWRWND001,ELC001,2030,0.056
RE1,S416,PWRTRNIMP,ELC001,2030,0.9038
RE1,S416,PWRTRN,ELC002,2030,11.5473
RE1,S416,PWRDIST,ELC003,2030,11.5473
RE1,S416,DEMTRAMCYGSL,TRAMCY,2030,3.2231
RE1,S416,DEMTRACARGSL,TRACAR,2030,6.9297
RE1,S416,DEMTRABUSGSL,TRABUS,2030,5.9627
RE1,S416,DEMINDELC,INDELC,2030,5.715
RE1,S416,DEMINDHEBIO,INDHEL,2030,5.0346
RE1,S416,DEMRESELC,RESELC,2030,2.853
RE1,S416,DEMRESCKNELC,RESCKN,2030,0.0292
RE1,S416,DEMRESCKNOIL,RESCKN,2030,1.5817
RE1,S416,DEMRESCKNBIO,RESCKN,2030,0.942
RE1,S416,DEMRESHEBIO,RESHEL,2030,1.0941
RE1,S416,DEMCOMELC,COMELC,2030,2.9487
RE1,S416,DEMCOMHEBIO,COMHEL,2030,0.532
RE1,S416,DEMINDHECOA,INDHEH,2030,7.5519
RE1,S417,MINBIO,BIO,2030,13.9465
RE1,S417,IMPCOA,COA,2030,41.0293
RE1,S417,IMPLFO,LFO,2030,77.7781
RE1,S417,MINSOL,SOL,2030,0.3678
RE1,S417,MINWND,WND,2030,0.056
RE1,S417,MINHYD,HYD,2030,0.4093
RE1,S417,PWRBIO001,ELC001,2030,1.0216
RE1,S417,PWRCOA001,ELC001,2030,9.5213
RE1,S417,PWRSOL001,ELC001,2030,0.3673
RE1,S417,PWRCSP002,ELC001,2030,0.0005
RE1,S417,PWRHYD001,ELC001,2030,0.3933
RE1,S417,PWRHYD002,ELC001,2030,0.016
RE1,S417,PWRWND001,ELC001,2030,0.056
RE1,S417,PWRTRNIMP,ELC001,2030,0.9038
RE1,S417,PWRTRN,ELC002,2030,11.5473
RE1,S417,PWRDIST,ELC003,2030,11.5473
