r,l,t,f,y,ProductionByTechnology
RE1,S111,PWRHYD001,ELC001,2020,0.0786
RE1,S111,PWRHYD002,ELC001,2020,0.0032
RE1,S111,PWRWND001,ELC001,2020,0.0111
RE1,S111,PWRTRNIMP,ELC001,2020,0.9345
RE1,S111,PWRTRN,ELC002,2020,8.5441
RE1,S111,PWRDIST,ELC003,2020,8.5441
RE1,S111,DEMTRAMCYGSL,TRAMCY,2020,2.7212
RE1,S111,DEMTRACARGSL,TRACAR,2020,6.7078
RE1,S111,DEMTRABUSGSL,TRABUS,2020,4.6105
RE1,S111,DEMINDELC,INDELC,2020,4.2057
RE1,S111,DEMINDHEBIO,INDHEL,2020,4.4439
RE1,S111,DEMRESELC,RESELC,2020,2.0995
RE1,S111,DEMRESCKNELC,RESCKN,2020,0.0657
RE1,S111,DEMRESCKNBIO,RESCKN,2020,0.7637
RE1,S111,DEMRESHEBIO,RESHEL,2020,0.9243
RE1,S111,DEMCOMELC,COMELC,2020,2.1699
RE1,S111,DEMCOMHEBIO,COMHEL,2020,0.4466
RE1,S111,DEMINDHECOA,INDHEH,2020,6.5344
RE1,S112,MINOIL,OIL,2020,22.3089
RE1,S112,MINBIO,BIO,2020,11.5768
RE1,S112,MINCOA,COA,2020,16.0296
RE1,S112,IMPLFO,LFO,2020,45.5091
RE1,S112,UPSREF001,LFO,2020,20.078
RE1,S112,UPSREF001,HFO,2020,2.2309
RE1,S112,MINNGS,NGS,2020,8.6339
RE1,S112,MINSOL,SOL,2020,0.2003
RE1,S112,MINWND,WND,2020,0.0111
RE1,S112,MINHYD,HYD,2020,0.0818
RE1,S112,PWRBIO001,ELC001,2020,0.7386
RE1,S112,PWRCOA001,ELC001,2020,2.3911
RE1,S112,PWRNGS001,ELC001,2020,4.7701
RE1,S112,PWRSOL001,ELC001,2020,0.1998
RE1,S112,PWRCSP002,ELC001,2020,0.0005
RE1,S112,PWRHYD001,ELC001,2020,0.0786
RE1,S112,PWRHYD002,ELC001,2020,0.0032
RE1,S112,PWRWND001,ELC001,2020,0.0111
RE1,S112,PWRTRNIMP,ELC001,2020,0.9345
RE1,S112,PWRTRN,ELC002,2020,8.5441
RE1,S112,PWRDIST,ELC003,2020,8.5441
RE1,S112,DEMTRAMCYGSL,TRAMCY,2020,2.7212
RE1,S112,DEMTRACARGSL,TRACAR,2020,6.7078
RE1,S112,DEMTRABUSGSL,TRABUS,2020,3.5124
RE1,S112,DEMINDELC,INDELC,2020,4.2057
RE1,S112,DEMINDHEBIO,INDHEL,2020,4.4439
RE1,S112,DEMRESELC,RESELC,2020,2.0995
RE1,S112,DEMRESCKNELC,RESCKN,2020,0.0657
RE1,S112,DEMRESCKNOIL,RESCKN,2020,2.1962
RE1,S112,DEMRESCKNBIO,RESCKN,2020,0.7637
RE1,S112,DEMRESHEBIO,RESHEL,2020,0.9243
RE1,S112,DEMCOMELC,COMELC,2020,2.1699
RE1,S112,DEMCOMHEBIO,COMHEL,2020,0.4466
RE1,S112,DEMINDHECOA,INDHEH,2020,6.5344
RE1,S113,MINOIL,OIL,2020,22.3089
RE1,S113,MINBIO,BIO,2020,11.5768
RE1,S113,MINCOA,COA,2020,16.0296
RE1,S113,IMPLFO,LFO,2020,45.5091
RE1,S113,UPSREF001,LFO,2020,20.078
RE1,S113,UPSREF001,HFO,2020,2.2309
RE1,S113,MINNGS,NGS,2020,8.6339
RE1,S113,MINSOL,SOL,2020,0.2003
RE1,S113,MINWND,WND,2020,0.0111
RE1,S113,MINHYD,HYD,2020,0.0818
RE1,S113,PWRBIO001,ELC001,2020,0.7386
RE1,S113,PWRCOA001,ELC001,2020,2.3911
RE1,S113,PWRNGS001,ELC001,2020,4.7701
RE1,S113,PWRSOL001,ELC001,2020,0.1998
RE1,S113,PWRCSP002,ELC001,2020,0.0005
RE1,S113,PWRHYD001,ELC001,2020,0.0786
RE1,S113,PWRHYD002,ELC001,2020,0.0032
RE1,S113,PWRWND001,ELC001,2020,0.0111
RE1,S113,PWRTRNIMP,ELC001,2020,0.9345
RE1,S113,PWRTRN,ELC002,2020,8.5441
RE1,S113,PWRDIST,ELC003,2020,8.5441
RE1,S113,DEMTRAMCYGSL,TRAMCY,2020,2.7212
RE1,S113,DEMTRACARGSL,TRACAR,2020,6.0894
RE1,S113,DEMTRABUSGSL,TRABUS,2020,5.3835
RE1,S113,DEMINDELC,INDELC,2020,4.2057
RE1,S113,DEMINDHEBIO,INDHEL,2020,4.4439
RE1,S113,DEMRESELC,RESELC,2020,2.0995
RE1,S113,DEMRESCKNELC,RESCKN,2020,0.0657
RE1,S113,DEMRESCKNBIO,RESCKN,2020,0.7637
RE1,S113,DEMRESHEBIO,RESHEL,2020,0.9243
RE1,S113,DEMCOMELC,COMELC,2020,2.1699
RE1,S113,DEMCOMHEBIO,COMHEL,2020,0.4466
RE1,S113,DEMINDHECOA,INDHEH,2020,6.5344
RE1,S114,MINOIL,OIL,2020,22.3089
RE1,S114,MINBIO,BIO,2020,11.5768
RE1,S114,MINCOA,COA,2020,16.0296
RE1,S114,IMPLFO,LFO,2020,45.5091
RE1,S114,UPSREF001,LFO,2020,20.078
RE1,S114,UPSREF001,HFO,2020,2.2309
RE1,S114,MINNGS,NGS,2020,8.6339
RE1,S114,MINSOL,SOL,2020,0.2003
RE1,S114,MINWND,WND,2020,0.0111
RE1,S114,MINHYD,HYD,2020,0.0818
RE1,S114,PWRBIO001,ELC001,2020,0.7386
RE1,S114,PWRCOA001,ELC001,2020,2.3911
RE1,S114,PWRNGS001,ELC001,2020,4.7701
RE1,S114,PWRSOL001,ELC001,2020,0.1998
RE1,S114,PWRCSP002,ELC001,2020,0.0005
RE1,S114,PWRHYD001,ELC001,2020,0.0786
RE1,S114,PWRHYD002,ELC001,2020,0.0032
