r,t,y,NewCapacity
RE1,PWRTRNIMP,2027,5.2788
RE1,PWRTRNIMP,2028,5.3459
RE1,PWRTRNIMP,2029,5.413
RE1,PWRTRNIMP,2030,5.48
RE1,PWRTRNIMP,2031,5.5568
RE1,PWRTRNIMP,2032,5.6334
RE1,PWRTRNIMP,2033,5.71
RE1,PWRTRNIMP,2034,5.7866
RE1,PWRTRNIMP,2035,6.1523
RE1,PWRTRNIMP,2036,6.407
RE1,PWRTRNIMP,2037,6.5197
RE1,PWRTRNIMP,2038,6.6351
RE1,PWRTRNIMP,2039,6.7007
RE1,PWRTRNIMP,2040,6.7619
RE1,PWRTRNIMP,2041,6.8375
RE1,PWRTRNIMP,2042,6.8973
RE1,PWRTRNIMP,2043,6.9571
RE1,PWRTRNIMP,2044,7.0175
RE1,PWRTRNIMP,2045,7.0772
RE1,PWRTRNIMP,2046,7.1184
RE1,PWRTRNIMP,2047,7.1075
RE1,PWRTRNIMP,2048,7.1413
RE1,PWRTRNIMP,2049,7.1824
RE1,PWRTRNIMP,2050,7.1936
RE1,PWRTRNIMP,2051,6.9155
RE1,PWRTRNIMP,2052,6.9536
RE1,PWRTRNIMP,2053,6.9922
RE1,PWRTRNIMP,2054,7.0311
RE1,PWRTRNIMP,2055,7.0691
RE1,PWRTRNIMP,2056,7.1024
RE1,PWRTRNIMP,2057,7.1361
RE1,PWRTRNIMP,2058,7.1702
RE1,PWRTRNIMP,2059,7.2046
RE1,PWRTRNIMP,2060,7.2395
RE1,PWRTRNIMP,2061,7.2747
RE1,PWRTRNIMP,2062,7.3103
RE1,PWRTRNIMP,2063,7.3463
RE1,PWRTRNIMP,2064,7.3827
RE1,PWRTRNIMP,2065,7.4195
RE1,PWRTRNIMP,2066,7.4568
RE1,PWRTRNIMP,2067,7.4944
RE1,PWRTRNIMP,2068,7.5325
RE1,PWRTRNIMP,2069,7.5709
RE1,PWRTRNIMP,2070,7.6099
RE1,PWRTRN,2033,0.2287
RE1,PWRTRN,2034,1.1013
RE1,PWRTRN,2035,1.1006
RE1,PWRTRN,2036,0.8802
RE1,PWRTRN,2037,0.8796
RE1,PWRTRN,2038,0.879
RE1,PWRTRN,2039,0.8908
RE1,PWRTRN,2040,0.8902
RE1,PWRTRN,2041,0.8709
RE1,PWRTRN,2042,0.8703
RE1,PWRTRN,2043,0.8697
RE1,PWRTRN,2044,0.8692
RE1,PWRTRN,2045,0.8686
RE1,PWRTRN,2046,0.5991
RE1,PWRTRN,2047,0.5987
RE1,PWRTRN,2048,0.5983
RE1,PWRTRN,2049,0.5979
RE1,PWRTRN,2050,0.5975
RE1,PWRTRN,2051,43.5166
RE1,PWRTRN,2052,0.6437
RE1,PWRTRN,2053,0.6509
RE1,PWRTRN,2054,0.6582
RE1,PWRTRN,2055,0.6655
RE1,PWRTRN,2056,0.6729
RE1,PWRTRN,2057,0.6804
RE1,PWRTRN,2058,0.688
RE1,PWRTRN,2059,0.6957
RE1,PWRTRN,2060,0.7035
RE1,PWRTRN,2061,0.7113
RE1,PWRTRN,2062,0.7192
RE1,PWRTRN,2063,0.7273
RE1,PWRTRN,2064,0.7354
RE1,PWRTRN,2065,0.7436
RE1,PWRTRN,2066,0.7519
RE1,PWRTRN,2067,0.7603
RE1,PWRTRN,2068,0.7687
RE1,PWRTRN,2069,0.7773
RE1,PWRTRN,2070,0.786
RE1,PWRDIST,2036,0.8018
RE1,PWRDIST,2037,0.8463
RE1,PWRDIST,2038,0.8463
RE1,PWRDIST,2039,0.858
RE1,PWRDIST,2040,0.858
RE1,PWRDIST,2041,0.8402
RE1,PWRDIST,2042,0.8402
RE1,PWRDIST,2043,0.8402
RE1,PWRDIST,2044,0.8402
RE1,PWRDIST,2045,0.8402
